model_name,backbone,epoch,accuracy,macro_f1,timestamp,sedan_f1,mpv_f1,suv_f1,pickup_f1,truck_f1,bus_f1
vit_b_16,vit,1,0.5171102661596958,0.5612239719961599,2026-01-27 13:40:13,0.45161290322580644,0.5181347150259067,0.5161290322580645,0.32432432432432434,0.8571428571428571,0.7
vit_b_16,vit,2,0.5513307984790875,0.6027976823535786,2026-01-27 13:40:19,0.5185185185185185,0.5222222222222223,0.5421686746987951,0.5106382978723404,0.8275862068965517,0.6956521739130435
vit_b_16,vit,3,0.5551330798479087,0.6126474336311483,2026-01-27 13:40:26,0.5,0.519774011299435,0.5477707006369427,0.6341463414634146,0.7741935483870968,0.7
vit_b_16,vit,4,0.6159695817490495,0.6751071174433809,2026-01-27 13:40:34,0.5476190476190477,0.6091370558375635,0.5844155844155844,0.6341463414634146,0.8571428571428571,0.8181818181818182
vit_b_16,vit,5,0.6159695817490495,0.673104899201717,2026-01-27 13:40:40,0.5416666666666666,0.6069651741293532,0.5957446808510638,0.6666666666666666,0.8275862068965517,0.8
vit_b_16,vit,6,0.6273764258555133,0.68549067600943,2026-01-27 13:40:48,0.574468085106383,0.6185567010309279,0.5945945945945946,0.65,0.8571428571428571,0.8181818181818182
vit_b_16,vit,7,0.7110266159695817,0.7713608303291628,2026-01-27 13:41:03,0.6382978723404256,0.7255813953488373,0.6571428571428571,0.75,1.0,0.8571428571428571
vit_b_16,vit,8,0.7338403041825095,0.7818055144655921,2026-01-27 13:41:14,0.6666666666666666,0.7403846153846154,0.7074829931972789,0.7741935483870968,0.96,0.8421052631578947
vit_b_16,vit,9,0.7262357414448669,0.7683409044469175,2026-01-27 13:41:26,0.6732673267326733,0.7414634146341463,0.6853146853146853,0.75,0.96,0.8
vit_b_16,vit,10,0.7642585551330798,0.7966230956944798,2026-01-27 13:41:38,0.7209302325581395,0.7830188679245284,0.7236842105263158,0.75,0.96,0.8421052631578947
vit_b_16,vit,11,0.7870722433460076,0.825771700410259,2026-01-27 13:41:50,0.7272727272727273,0.8165137614678899,0.7261146496815286,0.8275862068965517,1.0,0.8571428571428571
vit_b_16,vit,12,0.8060836501901141,0.8518707439744531,2026-01-27 13:42:04,0.759493670886076,0.8235294117647058,0.7532467532467533,0.8275862068965517,1.0,0.9473684210526315
vit_b_16,vit,13,0.8136882129277566,0.8557530459691577,2026-01-27 13:42:18,0.7631578947368421,0.8281938325991189,0.7682119205298014,0.8275862068965517,1.0,0.9473684210526315
vit_b_16,vit,14,0.8060836501901141,0.8457878781835225,2026-01-27 13:42:30,0.7692307692307693,0.8275862068965517,0.7448275862068966,0.7857142857142857,1.0,0.9473684210526315
vit_b_16,vit,15,0.8136882129277566,0.8509192671737278,2026-01-27 13:42:41,0.7692307692307693,0.8310502283105022,0.7721518987341772,0.7857142857142857,1.0,0.9473684210526315
vit_b_16,vit,16,0.8060836501901141,0.8539664724706272,2026-01-27 13:42:53,0.7692307692307693,0.8113207547169812,0.7682926829268293,0.8275862068965517,1.0,0.9473684210526315
vit_b_16,vit,17,0.8288973384030418,0.8658031996341805,2026-01-27 13:43:05,0.7848101265822784,0.8401826484018264,0.7948717948717948,0.8275862068965517,1.0,0.9473684210526315
vit_b_16,vit,18,0.8174904942965779,0.8597530330228262,2026-01-27 13:43:16,0.7792207792207793,0.8272727272727273,0.7770700636942676,0.8275862068965517,1.0,0.9473684210526315
vit_b_16,vit,19,0.8212927756653993,0.860429973359823,2026-01-27 13:43:27,0.7692307692307693,0.8340807174887892,0.7843137254901961,0.8275862068965517,1.0,0.9473684210526315
vit_b_16,vit,20,0.8174904942965779,0.8589182344173271,2026-01-27 13:43:39,0.7692307692307693,0.8272727272727273,0.782051282051282,0.8275862068965517,1.0,0.9473684210526315
vit_b_16,vit,21,0.8174904942965779,0.8632030998559045,2026-01-27 13:43:50,0.7368421052631579,0.8333333333333334,0.7814569536423841,0.8275862068965517,1.0,1.0
vit_b_16,vit,22,0.8288973384030418,0.8735203444913994,2026-01-27 13:44:03,0.7848101265822784,0.8416289592760181,0.7870967741935484,0.8275862068965517,1.0,1.0
vit_b_16,vit,23,0.8136882129277566,0.8666614047764932,2026-01-27 13:44:15,0.7848101265822784,0.8202764976958525,0.7672955974842768,0.8275862068965517,1.0,1.0
vit_b_16,vit,24,0.8060836501901141,0.8585099748171561,2026-01-27 13:44:26,0.7368421052631579,0.8144796380090498,0.7721518987341772,0.8275862068965517,1.0,1.0
vit_b_16,vit,25,0.8060836501901141,0.8585099748171561,2026-01-27 13:44:37,0.7368421052631579,0.8144796380090498,0.7721518987341772,0.8275862068965517,1.0,1.0
vit_b_16,vit,26,0.8060836501901141,0.8585099748171561,2026-01-27 13:44:49,0.7368421052631579,0.8144796380090498,0.7721518987341772,0.8275862068965517,1.0,1.0
vit_b_16,vit,27,0.8060836501901141,0.8585099748171561,2026-01-27 13:45:00,0.7368421052631579,0.8144796380090498,0.7721518987341772,0.8275862068965517,1.0,1.0
vit_b_16,vit,28,0.8060836501901141,0.8585099748171561,2026-01-27 13:45:12,0.7368421052631579,0.8144796380090498,0.7721518987341772,0.8275862068965517,1.0,1.0
vit_b_16,vit,29,0.8098859315589354,0.8602196992789661,2026-01-27 13:45:23,0.7368421052631579,0.8198198198198198,0.7770700636942676,0.8275862068965517,1.0,1.0
vit_b_16,vit,30,0.8060836501901141,0.8585099748171561,2026-01-27 13:45:35,0.7368421052631579,0.8144796380090498,0.7721518987341772,0.8275862068965517,1.0,1.0
vit_b_16,vit,test,0.8060836501901141,0.8752489548252235,2026-01-27 13:45:37,0.7341772151898734,0.7798165137614679,0.8,0.9375,1.0,1.0
